2018/05/22 09:44.33:    1529540073.683638:6ABE0326E806*                 :CSMA Data frame: frame len=232, FEC OK
2018/05/22 09:44.34:    1529540074.692356:6ABE0326E806*                 :CSMA Data frame: frame len=232, FEC OK
2018/05/22 09:44.35:    1529540075.708037:6ABE0326E806*                 :CSMA Data frame: frame len=232, FEC OK
2018/05/22 09:44.36:    1529540076.710582:6ABE0326E806*                 :CSMA Data frame: frame len=112, FEC OK
2018/05/22 09:44.37:    1529540077.712404:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:44.38:    1529540078.714301:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:44.39:    1529540079.731892:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:44.40:    1529540080.743102:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/05/22 09:44.41:    1529540081.757278:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:44.42:    1529540082.765375:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:44.44:    1529540084.582136:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:44.44:    1529540084.843245:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:44.45:    1529540085.852862:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/05/22 09:44.46:    1529540086.880158:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 09:44.47:    1529540087.601322:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:44.48:    1529540088.124048:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:44.48:    1529540088.637292:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:44.49:    1529540089.162094:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:44.49:    1529540089.711967:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:44.50:    1529540090.214372:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:46.31:    1529540191.625585:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.32:    1529540192.630787:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
2018/05/22 09:46.33:    1529540193.635831:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.34:    1529540194.638806:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/05/22 09:46.35:    1529540195.631098:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.36:    1529540196.671240:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.37:    1529540197.688615:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.38:    1529540198.695334:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.39:    1529540199.698152:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.40:    1529540200.719185:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.41:    1529540201.731351:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.42:    1529540202.753552:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.44:    1529540204.737070:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.44:    1529540204.799222:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:46.45:    1529540205.844003:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:46.46:    1529540206.862619:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:46.47:    1529540207.736450:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:46.48:    1529540208.248404:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.30:    1529540310.038120:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.31:    1529540311.046213:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.32:    1529540312.052187:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.33:    1529540313.057059:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.34:    1529540314.040937:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.35:    1529540315.070946:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.36:    1529540316.079845:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.37:    1529540317.087988:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.38:    1529540318.106525:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.39:    1529540319.138324:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/05/22 09:48.40:    1529540320.140297:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.41:    1529540321.156377:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.42:    1529540322.165176:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
2018/05/22 09:48.43:    1529540323.180266:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.44:    1529540324.000596:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.45:    1529540325.225450:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/05/22 09:48.46:    1529540326.288197:6ABE0326E806*                 :CSMA Data frame: frame len=208, FEC OK
2018/05/22 09:48.47:    1529540327.301683:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.48:    1529540328.019516:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.48:    1529540328.533224:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.49:    1529540329.048816:6ABE0326E806*                 :CSMA Data frame: frame len=221, FEC OK
2018/05/22 09:48.49:    1529540329.566054:6ABE0326E806*                 :CSMA Data frame: frame len=221, FEC OK
2018/05/22 09:48.50:    1529540330.085904:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/05/22 09:48.50:    1529540330.602495:6ABE0326E806*                 :CSMA Data frame: frame len=208, FEC OK
2018/05/22 09:49.54:    1529540394.996277:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:49.55:    1529540395.445327:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:49.55:    1529540395.968330:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:49.56:    1529540396.926629:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:49.57:    1529540397.959757:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/05/22 09:49.58:    1529540398.966853:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 09:49.59:    1529540399.995034:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.00:    1529540400.512731:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/05/22 09:50.01:    1529540401.028195:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/05/22 09:50.18:    1529540418.170735:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:50.19:    1529540419.180360:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.20:    1529540420.191633:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.20:    1529540420.704030:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/05/22 09:50.21:    1529540421.214454:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/05/22 09:50.21:    1529540421.720769:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/05/22 09:50.22:    1529540422.226756:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/05/22 09:50.22:    1529540422.834876:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
