2018/04/31 19:36.32:    1527674792.307250:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/04/31 19:36.32:    1527674792.316115:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/04/31 19:36.32:    1527674792.320060:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:36.32:    1527674792.321248:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:36.32:    1527674792.328780:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/04/31 19:36.32:    1527674792.334692:6ABE0326E806*                 :CSMA Data frame: frame len=226, FEC OK
2018/04/31 19:36.32:    1527674792.345720:6ABE0326E806*                 :CSMA Data frame: frame len=227, FEC OK
2018/04/31 19:36.32:    1527674792.347696:6ABE0326E806*                 :CSMA Data frame: frame len=215, FEC OK
2018/04/31 19:36.32:    1527674792.348641:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/04/31 19:36.32:    1527674792.349504:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/04/31 19:36.32:    1527674792.361281:6ABE0326E806*                 :CSMA Data frame: frame len=226, FEC OK
2018/04/31 19:36.32:    1527674792.365088:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/04/31 19:36.32:    1527674792.365671:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:36.32:    1527674792.375900:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:36.32:    1527674792.378238:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/04/31 19:36.32:    1527674792.379734:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:36.32:    1527674792.383668:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/04/31 19:38.30:    1527674910.713314:6ABE0326E806*                 :CSMA Data frame: frame len=221, FEC OK
2018/04/31 19:38.30:    1527674910.713880:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.714784:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/04/31 19:38.30:    1527674910.716162:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.718868:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/04/31 19:38.30:    1527674910.721778:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.724391:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:38.30:    1527674910.725616:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.730021:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/04/31 19:38.30:    1527674910.737447:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.738290:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.740048:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.742532:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/04/31 19:38.30:    1527674910.754209:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.756317:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.757088:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.760341:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.761043:6ABE0326E806*                 :CSMA Data frame: frame len=203, FEC OK
2018/04/31 19:38.30:    1527674910.768065:6ABE0326E806*                 :CSMA Data frame: frame len=208, FEC OK
2018/04/31 19:38.30:    1527674910.768312:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.30:    1527674910.768589:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.207700:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.207967:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.208177:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.208391:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.208547:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.208769:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.208954:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.209223:6ABE0326E806*                 :CSMA Data frame: frame len=57, FEC OK
2018/04/31 19:38.48:    1527674928.209394:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.209578:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.209841:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.210246:6ABE0326E806*                 :CSMA Data frame: frame len=65, FEC OK
2018/04/31 19:38.48:    1527674928.210443:6ABE0326E806*                 :CSMA Data frame: frame len=52, FEC OK
2018/04/31 19:38.48:    1527674928.216047:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:38.48:    1527674928.219937:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:38.48:    1527674928.226514:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:38.48:    1527674928.239014:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/04/31 19:38.48:    1527674928.239801:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:38.48:    1527674928.252259:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:38.48:    1527674928.261795:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:38.48:    1527674928.271043:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:38.48:    1527674928.272371:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:38.48:    1527674928.273797:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:38.48:    1527674928.277260:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/04/31 19:38.48:    1527674928.288964:6ABE0326E806*                 :CSMA Data frame: frame len=214, FEC OK
2018/04/31 19:38.48:    1527674928.292080:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:38.48:    1527674928.303506:6ABE0326E806*                 :CSMA Data frame: frame len=219, FEC OK
2018/04/31 19:40.48:    1527675048.837324:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:40.48:    1527675048.840203:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/04/31 19:40.48:    1527675048.855650:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/04/31 19:40.48:    1527675048.874521:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:40.48:    1527675048.882065:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:40.48:    1527675048.882726:6ABE0326E806*                 :CSMA Data frame: frame len=216, FEC OK
2018/04/31 19:40.48:    1527675048.895074:6ABE0326E806*                 :CSMA Data frame: frame len=227, FEC OK
2018/04/31 19:40.48:    1527675048.904409:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:40.48:    1527675048.922103:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/04/31 19:40.48:    1527675048.935813:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/04/31 19:40.48:    1527675048.948452:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:40.48:    1527675048.950918:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:40.48:    1527675048.954302:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/04/31 19:40.48:    1527675048.973739:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:40.48:    1527675048.984180:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:40.48:    1527675048.992857:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:40.48:    1527675048.997129:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
2018/04/31 19:44.00:    1527675240.546526:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/04/31 19:44.00:    1527675240.552582:6ABE0326E806*                 :CSMA Data frame: frame len=233, FEC OK
2018/04/31 19:44.00:    1527675240.563758:6ABE0326E806*                 :CSMA Data frame: frame len=224, FEC OK
2018/04/31 19:44.00:    1527675240.582013:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:44.00:    1527675240.588949:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:44.00:    1527675240.594902:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/04/31 19:44.00:    1527675240.606407:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:44.00:    1527675240.612630:6ABE0326E806*                 :CSMA Data frame: frame len=230, FEC OK
2018/04/31 19:44.00:    1527675240.616901:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:44.00:    1527675240.624015:6ABE0326E806*                 :CSMA Data frame: frame len=232, FEC OK
2018/04/31 19:44.00:    1527675240.633319:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:44.00:    1527675240.643485:6ABE0326E806*                 :CSMA Data frame: frame len=225, FEC OK
2018/04/31 19:44.00:    1527675240.644730:6ABE0326E806*                 :CSMA Data frame: frame len=212, FEC OK
2018/04/31 19:44.00:    1527675240.650621:6ABE0326E806*                 :CSMA Data frame: frame len=229, FEC OK
2018/04/31 19:44.00:    1527675240.656646:6ABE0326E806*                 :CSMA Data frame: frame len=228, FEC OK
2018/04/31 19:44.00:    1527675240.658446:6ABE0326E806*                 :CSMA Data frame: frame len=223, FEC OK
